fold,m,repeat,seed,f134_gain,f135_gain,f136_gain,overall_pooled_auc,cold_pooled_auc,overall_auc,overall_auc_queries_used,cold_auc,cold_auc_queries_used,overall_ndcg@1,overall_map@1,cold_ndcg@1,cold_map@1,overall_ndcg@3,overall_map@3,cold_ndcg@3,cold_map@3,overall_ndcg@5,overall_map@5,cold_ndcg@5,cold_map@5,overall_ndcg@10,overall_map@10,cold_ndcg@10,cold_map@10
5,1000,3,15003,4532.051577970386,1468.412283450365,1508.3986718207598,0.7872279845571885,0.7730977288282435,0.7733528059235224,1306.0,0.7528972473095621,1146.0,0.45738571428571795,0.2605,0.40680952380952734,0.1705,0.44951626532813627,0.303875,0.41532660886062794,0.21391666666666664,0.45502067718692163,0.3043729166666667,0.4288613689418338,0.21675416666666666,0.47641467255594644,0.28974547028533637,0.4554360517261853,0.211932847930839
5,1000,4,15004,4682.966408163309,1639.20144328475,1563.306856393814,0.785933313012821,0.7714864353764285,0.7691611103439221,1306.0,0.7473286204521938,1146.0,0.4536571428571462,0.251,0.401461904761908,0.162,0.450071779731526,0.30204166666666665,0.41647069623955923,0.2105,0.4579928098324253,0.3045159722222222,0.42900137892941254,0.2163777777777778,0.47709808466042436,0.28739683445137315,0.45346079223164876,0.20957555854749307
1,1100,0,12000,4364.765495032072,1604.877911567688,1632.947817325592,0.7816837164621868,0.7661183330107427,0.7718898895511104,1279.0,0.7475545713402493,1132.0,0.44869523809524214,0.2445,0.4100000000000038,0.172,0.4435898960937403,0.2965833333333333,0.41105440992489123,0.216625,0.4511177725907623,0.2966875,0.4223729826480134,0.22128472222222223,0.46944986097655,0.2807317824074074,0.44479807905558744,0.21392879818594104
1,1100,1,12001,4665.588738411665,1635.7269160449505,1605.1626997590065,0.7822370583956016,0.7671249346653239,0.7697283402877019,1279.0,0.7465976279043766,1132.0,0.4394571428571465,0.245,0.39991904761905117,0.1685,0.43622658321677404,0.29654166666666665,0.40746762107006335,0.214375,0.44826233396136933,0.2960034722222222,0.42011939578448504,0.22045138888888888,0.46798508789260107,0.28243142054043835,0.44421741712416596,0.21457502787226002
1,1100,2,12002,4553.80364626646,1556.7430141568184,1587.784268707037,0.7842670268034809,0.7690482687351126,0.7710892370393837,1279.0,0.7465033290573779,1132.0,0.4419238095238132,0.2435,0.3964333333333368,0.166,0.43719018659030506,0.2956666666666667,0.4061187125474907,0.2127083333333333,0.4461089006492173,0.29604305555555555,0.42023005733434776,0.21702777777777776,0.4686192429535258,0.28074144605064244,0.445508887344162,0.21101287249622072
1,1100,3,12003,4688.8747028410435,1668.3167231976986,1492.6610108315945,0.7821785843443896,0.7671077295317568,0.7711634677245285,1279.0,0.7491959596547243,1132.0,0.4422619047619086,0.243,0.39994285714286093,0.166,0.43923577993743246,0.293,0.41114051963203807,0.21175,0.4470946451247452,0.2920784722222222,0.4229076581299648,0.21899652777777778,0.4686424752895891,0.2778493846056942,0.44582364331207847,0.21260554516250946
1,1100,4,12004,4280.244337558746,1409.8147689700127,1467.4738626480103,0.781533256706723,0.7657589614209308,0.7711526392070556,1279.0,0.7469069972311202,1132.0,0.4436190476190512,0.246,0.39633333333333676,0.161,0.4380840639600857,0.2967083333333333,0.4071279078189865,0.210375,0.4461864911296424,0.29703402777777776,0.4191600858713481,0.21442291666666666,0.4673621599110672,0.28018352277021924,0.4447348516120794,0.20892320105820106
2,1100,0,13000,4470.5972111821175,1188.7791149616241,1396.879098713398,0.7928135299534749,0.779234710496264,0.7656313691878005,1262.0,0.7367899885292664,1086.0,0.4516952380952422,0.246,0.402652380952385,0.151,0.44232125498557895,0.2915,0.4012750789564267,0.19033333333333333,0.446924992521377,0.2920152777777778,0.4127765981688591,0.19412569444444444,0.4662003707144601,0.2752761163076342,0.44077147865551486,0.19029714214852606
2,1100,1,13001,4477.861202180386,1427.2089391946793,1478.9095230400562,0.7919263713575995,0.7783398222875997,0.7635374986838432,1262.0,0.7372574567442317,1086.0,0.4550000000000043,0.2405,0.3994809523809567,0.142,0.443909615883103,0.28741666666666665,0.4052290512239804,0.18654166666666666,0.4500142126937399,0.2888972222222222,0.4153667773725357,0.1915986111111111,0.46888273192958246,0.27416498881960194,0.4431077636506839,0.1853375465325019
2,1100,2,13002,4300.139175355434,1392.6821248829365,1428.8488082289696,0.7912999421219242,0.7771180985095668,0.7638533618174727,1262.0,0.7355206735748384,1086.0,0.44732857142857535,0.2385,0.3966142857142898,0.1465,0.4425295115342239,0.287125,0.40051293727963677,0.18866666666666665,0.4474533447176278,0.28890347222222224,0.413748842007434,0.19345763888888887,0.4654609923246249,0.2758144207451499,0.441937938344627,0.19031575136999243
2,1100,3,13003,4360.460835546255,1279.4210855066776,1362.3374710083008,0.7917925787293681,0.7770990851536075,0.7636468701750418,1262.0,0.7360847629132822,1086.0,0.4512714285714326,0.241,0.39119523809524187,0.1435,0.44751645226531556,0.29225,0.4012175064554097,0.1859583333333333,0.45144992216761193,0.29441527777777776,0.412782536251809,0.19158819444444447,0.46868661795442046,0.28067882739669936,0.4412666003828585,0.1891338818027211
2,1100,4,13004,4286.958596080542,1161.6563369631767,1328.3269731402397,0.7923151490040974,0.7790793932961431,0.7623744973667521,1262.0,0.7345588606472948,1086.0,0.45824285714286134,0.245,0.3972571428571467,0.144,0.4476587862614681,0.2909166666666666,0.40430380570824337,0.18433333333333332,0.4511293896633246,0.29067013888888893,0.41404316275895253,0.19040555555555555,0.46833614759033065,0.27861524187452763,0.44117446003967636,0.1868355085506425
3,1100,0,14000,4197.020935535431,1343.669017314911,1565.4224811792374,0.7917862741774052,0.7791864641562979,0.7708736608459895,1236.0,0.7470622240784526,1103.0,0.4468476190476229,0.2265,0.3908954477238646,0.144072036018009,0.43433358954070816,0.2694583333333333,0.3986661418776455,0.1855511088877772,0.44328796262876596,0.2718708333333333,0.4139943760517981,0.19281168361958756,0.4680258366016964,0.2607974955120937,0.4446124246713863,0.1912644064536677
3,1100,1,14001,4352.024608671665,1233.1619791388512,1396.391836643219,0.791665138781429,0.7794910771738667,0.7689368651532191,1236.0,0.7456746659214453,1103.0,0.4518333333333369,0.2325,0.3895042759475,0.14357178589294647,0.43611225575386225,0.2757916666666666,0.39687285350678786,0.18505085876271468,0.44438849791171525,0.27879027777777776,0.4131925427339356,0.19206825635039743,0.46754807941288445,0.2629162705498866,0.44223533849646196,0.189263277156971
3,1100,2,14002,4501.749808311462,1365.3751621842384,1542.5740394890308,0.7937886207962548,0.7809490304279574,0.7731255466567871,1236.0,0.7483723677537939,1103.0,0.4444047619047653,0.233,0.38858000428786044,0.13856928464232116,0.43466433833316453,0.276375,0.39701575542499,0.18259129564782392,0.44267028701794225,0.2778180555555556,0.4118621587527276,0.18978794953032072,0.466763130933234,0.2615785070231796,0.4429940599408334,0.1886717982637073
3,1100,3,14003,4315.289224326611,1271.1083362996578,1380.410905867815,0.7932900735295894,0.7805291881587142,0.7698884034732474,1236.0,0.7458548773256445,1103.0,0.44146190476190855,0.2255,0.384011053145623,0.14207103551775888,0.43145475674855904,0.2706666666666666,0.394850902658612,0.18463398365849593,0.43942151925635153,0.27097986111111105,0.4102242185095692,0.1903660163415041,0.46602633719043574,0.25802914036911057,0.4411240402557393,0.18824448529064228
3,1100,4,14004,4570.497786283493,1360.4660391509533,1611.2095652222633,0.7933201397761678,0.7807544307351444,0.77080573509577,1236.0,0.7461703063459265,1103.0,0.44004285714286095,0.229,0.3796279091926944,0.14207103551775888,0.4340445239932543,0.27375,0.39513736088720536,0.18459229614807404,0.4418489772495934,0.2746534722222222,0.4115294774473896,0.19084125396031348,0.4653020735381482,0.2617803171453767,0.4406477840437176,0.187468105115798
4,1100,0,15000,4634.247274488211,1287.6315957605839,1515.2064772248268,0.7883459669570081,0.7733018949620416,0.7686081611543825,1276.0,0.7459105761365549,1128.0,0.4539047619047661,0.2405,0.39780366373663345,0.14957478739369684,0.44797457041749944,0.28862499999999996,0.4077793426025653,0.1974320493580123,0.4537927670760299,0.29014236111111114,0.4194133818272396,0.20301887054638432,0.47084930298912603,0.27652586443373645,0.4450862293031613,0.19875903229392475
4,1100,1,15001,4661.677057534456,1247.231096804142,1556.7405088245869,0.7887907714986895,0.7743404932547046,0.7694923052335471,1276.0,0.7466522671812905,1128.0,0.45921428571428974,0.2445,0.4074942233021308,0.1570785392696348,0.4511335622103196,0.2932916666666666,0.4141217371412088,0.20176755044188757,0.4542723886222404,0.2920069444444444,0.4237889770473836,0.2076920404646768,0.4743962492987975,0.2784224203199799,0.44869549849849866,0.20402411286898173
4,1100,2,15002,4321.725298315287,1146.8392959833145,1489.6764625310898,0.7873116195005654,0.7716574906177657,0.7674455791902898,1276.0,0.7436938379314639,1128.0,0.4583666666666711,0.245,0.40540746563758406,0.15807903951975988,0.44589080314844365,0.29304166666666664,0.41035384778110284,0.20147573786893447,0.4545861519042122,0.2946375,0.4218500456324371,0.20759476960702575,0.47358917508001014,0.2789096178980851,0.4474357135214849,0.20448765387985
4,1100,3,15003,4652.095275729895,1331.1111930012703,1576.5530293285847,0.7898194835273229,0.7754598711155751,0.7688342414787648,1276.0,0.7455983453726412,1128.0,0.4592190476190519,0.2495,0.4020200576478748,0.15757878939469736,0.448845036053454,0.2977916666666666,0.41142709142124884,0.2026846756711689,0.4565320743876093,0.29519166666666674,0.4236645955311545,0.2079213217719971,0.47496671000150753,0.27881174807886117,0.4492810233769854,0.20562937285599212
4,1100,4,15004,4815.266836494207,1478.8545190989971,1677.8611739873886,0.7871964281543535,0.7720891864503332,0.7685743773312347,1276.0,0.7441441584083338,1128.0,0.4503333333333373,0.242,0.3963553205174051,0.15157578789394696,0.444232680819508,0.2899583333333333,0.4075250629460355,0.19934967483741872,0.4510227683533156,0.2898562499999999,0.41913943355178074,0.20526860652548495,0.4703783076726584,0.2764981312988158,0.4454178242792264,0.20195669074144024
5,1100,0,16000,4299.980235189199,1511.6409434080124,1402.3257537186146,0.783759199435314,0.7680596561413888,0.7694464051308127,1306.0,0.7470830354358219,1146.0,0.4551761904761938,0.262,0.4032380952380984,0.1725,0.4488352704608291,0.30729166666666663,0.4131866253262088,0.21549999999999997,0.4573825532047756,0.30714305555555554,0.42664349970027143,0.22100416666666667,0.4782441239760352,0.2893257437326782,0.4535321185473713,0.21604747212773998
5,1100,1,16001,4377.782569974661,1489.2155979573727,1388.620219439268,0.7863066940111295,0.771215435909554,0.7742389159561449,1306.0,0.7515420490936573,1146.0,0.4636428571428607,0.263,0.41420000000000334,0.171,0.4528458977623387,0.3117083333333333,0.41912708010073485,0.21666666666666662,0.46133686117913447,0.3133590277777778,0.4291969083993487,0.2212159722222222,0.48005836994066436,0.29816978316326526,0.4554009227422044,0.21366060610355253
5,1100,2,16002,4179.96472543478,1474.891178369522,1371.0158252120018,0.7879591457805244,0.7742605499361785,0.7731366942531702,1306.0,0.7518022941464547,1146.0,0.45858571428571804,0.258,0.4054000000000036,0.1665,0.4512532313352396,0.3072083333333333,0.41740155590957756,0.21491666666666664,0.45898081265904633,0.30712152777777785,0.4290162911475923,0.21734930555555557,0.47942174077962135,0.29015962104749304,0.455662033802263,0.2112390794280675
5,1100,3,16003,4592.973896175623,1497.700945585966,1537.8408063650131,0.783693144564782,0.7686065181801621,0.7701889002374136,1306.0,0.7480173769660861,1146.0,0.45709523809524205,0.254,0.40444761904762216,0.1645,0.4471412982282252,0.30416666666666664,0.41143464016763015,0.2104583333333333,0.45447125420421897,0.3040958333333333,0.42440753576208834,0.21562916666666665,0.4747681219094779,0.29200824278785587,0.450609596371368,0.21150097222222222
5,1100,4,16004,4153.488082170486,1305.2309557795525,1284.7218066453934,0.7840194761877717,0.7687393172116685,0.7703125043485683,1306.0,0.7478281670117335,1146.0,0.45991904761905134,0.2525,0.40792380952381296,0.1695,0.45270035089444327,0.3049166666666666,0.4175979918595313,0.2137083333333333,0.4604998068464868,0.3081701388888889,0.43062447523512964,0.2185222222222222,0.48021242424101773,0.29232306523998486,0.4552399350363292,0.21417442247732424
1,1200,0,13000,4365.796524047852,1401.1937700808048,1406.9318905174732,0.7830836202128836,0.7682894140241301,0.7716199030751084,1279.0,0.7474629677622128,1132.0,0.443680952380956,0.2435,0.39771428571428946,0.1675,0.4399264244091048,0.2942916666666666,0.40972896764225814,0.21270833333333333,0.44697272807806215,0.2938340277777778,0.4196616278871282,0.21874444444444444,0.4674634094113901,0.27926202333711264,0.44506144901606914,0.21466358560090704
1,1200,1,13001,4336.5189807116985,1511.9993411302567,1461.574912428856,0.7825554915677346,0.7674702507428757,0.7710178952321232,1279.0,0.749151284424739,1132.0,0.44505714285714626,0.2445,0.3997809523809557,0.166,0.44251657528597793,0.29533333333333334,0.41021732763939406,0.21233333333333332,0.4485871253637421,0.2956638888888889,0.41924518669255334,0.21848819444444445,0.467416337328348,0.2800439288076342,0.44406306089838793,0.2134532747543462
1,1200,2,13002,4183.649429172277,1385.2742805182934,1326.2264937758446,0.7807602886505656,0.764804954348276,0.770297041284192,1279.0,0.74711533102807,1132.0,0.4399857142857174,0.239,0.40026190476190826,0.1595,0.4381327494987633,0.2914583333333333,0.41201380143794675,0.20983333333333332,0.44564242671909926,0.2920722222222222,0.41921862053511016,0.21440555555555557,0.4662196272001154,0.27710099694507434,0.44503446939593716,0.2085932845175107
1,1200,3,13003,4391.411912739277,1422.0465478301048,1491.635131508112,0.7829660370553219,0.7687726570723461,0.7697596033548512,1279.0,0.7482205334285397,1132.0,0.45047619047619425,0.247,0.4042857142857183,0.1675,0.44395455994480154,0.29633333333333334,0.41101146672887273,0.21333333333333332,0.4513086060994373,0.2975888888888889,0.4213824596204337,0.22047986111111112,0.47001365907162856,0.2791241262755102,0.4471684585301713,0.21372875157470395
1,1200,4,13004,4185.194788426161,1480.4162194430828,1356.99441999197,0.7834292084893067,0.7682159908683129,0.7694511983267828,1279.0,0.7457443715659524,1132.0,0.44203809523809906,0.239,0.4040904761904799,0.164,0.4382781643093697,0.2927083333333333,0.4111879488925452,0.21058333333333332,0.44734758589634355,0.29191944444444445,0.4235852847437612,0.2165340277777778,0.46878716887790967,0.27545200113378676,0.44800796076917193,0.2121405964191232
2,1200,0,14000,4143.317134082317,1131.7410083711147,1358.8796961605549,0.791647955658239,0.7777161091294673,0.7613202193402808,1262.0,0.7341437890787542,1086.0,0.4434619047619091,0.2365,0.3985380952380995,0.146,0.4422852198034543,0.285,0.40368843206808613,0.18733333333333332,0.44806314567033423,0.28587152777777775,0.41361709352014947,0.19253402777777778,0.46454198589567064,0.27364735583585287,0.438914864144793,0.1881302486457546
2,1200,1,14001,4213.529062688351,1175.6797473728657,1350.84377348423,0.792322442853514,0.7785655708131253,0.7632901273504623,1262.0,0.7362151886746344,1086.0,0.44636666666667046,0.237,0.39070476190476544,0.139,0.4433806160206201,0.285375,0.40102180536980436,0.1824583333333333,0.44859181061149866,0.2865680555555556,0.41294921432464643,0.1886847222222222,0.46608367550837154,0.272654660021416,0.4388803003617104,0.18523730387062232
2,1200,2,14002,4552.484106749296,1338.1884476542473,1352.699164569378,0.7905481485147505,0.77715181138149,0.7630605290339985,1262.0,0.7361653074770536,1086.0,0.4528333333333374,0.2415,0.39803333333333735,0.143,0.4459625000566451,0.29175,0.40398759699117515,0.18816666666666665,0.4512851969249984,0.2902270833333333,0.41545194314490447,0.1915215277777778,0.46815462148570264,0.2775968600403124,0.44080008104935703,0.1883472771793903
2,1200,3,14003,4354.518107920885,1221.7937596142292,1271.923068434,0.7916693093399402,0.7779028571437497,0.7624598698348048,1262.0,0.7367920956699487,1086.0,0.4521095238095281,0.241,0.3968095238095279,0.1475,0.44722603450281784,0.2895,0.40851399412869605,0.189875,0.4528217498310675,0.28722291666666666,0.4188705280050342,0.195325,0.4686945460821382,0.2775916784769463,0.44331586299402864,0.1912201093631897
2,1200,4,14004,4177.358272045851,1135.8630465567112,1268.6041367352009,0.7912274161054521,0.7783102518548567,0.7618029746377533,1262.0,0.7355339970467516,1086.0,0.45204761904762336,0.238,0.3987285714285754,0.1435,0.4437965463711854,0.2850833333333333,0.40278457025593484,0.184375,0.4491614272935918,0.28628194444444444,0.41671859560057584,0.19017847222222223,0.4696028710237026,0.2727054834341144,0.44394829752872994,0.18914599560657597
3,1200,0,15000,4371.233911603689,1308.413360118866,1342.9511674940586,0.7909047309033993,0.7774699206075601,0.7688276917323041,1236.0,0.7457454124070912,1103.0,0.4438904761904801,0.2365,0.3788608590009314,0.14107053526763383,0.434441132791139,0.2773333333333333,0.39510382131512856,0.18467567116891778,0.4438879202181103,0.2772840277777778,0.4115358745323309,0.19185009171252293,0.4668112519337202,0.26345979426492816,0.4400031478800601,0.18968043183219224
